segment_id,name,country,distance,city,athlete_count,polyline
26131055,Bay Mau Lake 2.4km Loop,Vietnam,2397.0,Hà Nội,35049,ggf_C{{_eSc@OUAe@?SFe@GS@g@Ji@Cg@BmAMQH_@XSDe@DOKm@m@c@Se@Mk@A{@BQBOHi@JOHMPg@Ly@@{@Ge@B{@Ai@De@Iw@Wy@OSCOJMNCP?rAEz@_@|@ERJ~@GdBB~@Ej@RHR?PER?b@FLPFRTb@BRGj@?VFRPJTBhASnABh@Fb@ARBz@@RBh@Az@JtBARCr@WPCh@HnAIf@F^PRD|ARrAGpA@h@IP@PENMNa@BU?i@PKR@NLR@LOKQU}@AUOg@Fm@ES@UPy@Ww@EUAUBg@OqA?UCSMKs@_@
31531255,800m dash ,Vietnam,804.0,Hà Nội,53403,mmg_Cai_eSCz@Db@FLDDVFPANE^Wb@E\Fh@N|AD~AGhDDd@Er@QN?h@B|A@\Dt@XLBl@A~@DfACn@Bn@Gb@OPOHQHo@
14587584,Full Loop,Vietnam,2989.5,Hà Nội,6562,mug_Ccf`eSE]HQ@KGMIAq@NKJc@PKBGFGf@JTDT_@p@DPh@FVZ`@RL`@Dd@@|@IXg@b@u@v@SZ@h@Df@DH^PPXWz@fAh@f@BdANPb@Ff@XZTHf@F\VZ^Hd@?f@Hb@`@LjAK^?d@Bf@J\C~B?hCFd@Ar@Gx@STCb@?bAEf@Hb@Nf@L|CJzAAb@Gd@MX]Fe@?UTM`@NNAFUo@}BAg@Bg@Lu@Eg@KWC[Ei@A{@Ci@Ie@W]cAc@[GiABg@Ag@HiA?mAKgA`@c@HoBkAe@Mc@EkADc@HwAt@e@BQCmAGkADqA?qCo@[UMQIOHyABqAGg@g@AsAD
33834390,Vỉa Cảm Tử,Vietnam,306.0,Hanoi,108108,_pj_CcpaeS]PUDs@f@]Fg@Rs@b@ILGR?TLd@Bh@KxABb@Ef@
33834431,Vỉa Thủy Tạ,Vietnam,302.0,Hanoi,99714,awj_CchaeSK`BBb@Er@N\RL`@d@VJd@Dv@Cd@Op@Gr@W
12954999,West and south side of lake,Vietnam,476.2,Hà Nội,105725,gej_CkbaeSvCf@N?r@Kl@Ol@Kb@EP?|@MrBk@LIN_@J}@j@cC@]GU
20831767,PVD to Bus,Vietnam,3230.9,Đà Nẵng,11585,}vaaBkttsSc@CkABoAJg@@oACoAFkEEuBHiAImAFg@AaDGmAGiABe@CoASw@GkB]iBm@}@g@eA_@aBu@}@i@qDkAe@I_@SiBm@gAYqBc@g@Mg@IuD_@aEk@qAOg@C{Em@i@IeAWiAKe@KiBe@gBk@gAa@eDcBsDoBeCmAyEqAyNkDa@Mc@SkAYqCcAyCoAgBcAKIAI
12478179,Son Tra to Linh Ung Temple,Vietnam,2056.8,Đà Nẵng,3841,cdgaBm|xsSTEX_@PELO`@MX]PEdAiANa@Dg@Mi@Ua@OOaAq@m@]a@Uc@OQCSCwE?UAqFCc@IQKKMWc@Ke@Ag@BsAFe@FOpAyAj@k@JQHQLsA\sBXu@PcBCU@c@GU}BaC{AqBGOAUBi@FSLM`@Of@CpAHpACj@@nAKd@Or@g@l@g@\a@HOFQASEUaAkBMk@Ei@JwB?qA
3483935,Hoàng Sa Climb,Vietnam,518.763,Da Nang,5181,_rgaBgyysSFQNw@`@gCPk@Nq@Hm@?aACUKScAkAe@o@aAcA{@kAGk@Ag@BUGU
12648662,Cheeky Beach,Vietnam,1686.1,Đà Nẵng,22464,wsfaBa`vsSdA`@rCt@b@PvLtCvC|@jB~@`DdBbAj@nDxAfA\fAb@lA\jATpBXfABhAL|Df@`Eb@rBV`@NjAPrCh@xDx@
20789387,Cong Vien Bien Dong to VNG corner,Vietnam,2534.1,Đà Nẵng,12180,mlaaB}ttsS^MzCOnA?jAErD?`DEnABf@Cb@Ed@QfBaAbAa@d@GnAIhDIvBQpAGvEGnAEpAMhAQzBUf@IdCUnAGvBYpBa@xCq@nAUpCYLOjBWlA]tBa@d@IvBKdAUd@AzCq@bDa@jAS|Bk@pAOrCe@pAGnAH
6791369,My Khe kilo,Vietnam,1031.1,Danang,36469,ko`aBqztsS`AAvAMvBE~DSv@AdCKh@?hAIbAB\Ch@AnFm@lCOn@M~@Kp@[v@Sb@A\G`A@l@Qp@OnAO
34426347,To VNG corner,Vietnam,1044.3,Da Nang,29793,ma_aBgausS^AhAOfALRENKXEVKB@REd@?TI|@SbAQ`@@RAJCd@@f@]|@Qr@KX@d@Mb@@^G\KTAr@UTSJAb@UFBXCRCNI^BVGXK`@G|@W|@IbASb@OxCc@VMTDj@[REd@If@A
33997594,Xuân Dũng to Airport,Vietnam,2176.8,Da Nang,10406,{x{`BsmusSLI@EFW?KJk@Vc@LEXNHEN[HKR@JCZCLa@FENHHAL?HLJ@DAh@[TWTEPSTMJBLE^APUB@FAp@WTCDITKZ@PCDCLAFEVSZ[LUX?ZKZBRFHAHCd@]TB`@I\Ud@Ut@c@H@JMTIN@TSj@G`@Kb@_@NCD@DC^?RGZ[LGNA\UXKP@v@Uz@]j@[z@]d@IXMZC~@i@n@Sv@a@f@It@SRKTUv@[`AKd@a@ZEr@SJDb@MLM`@S^Md@It@[|@WhBu@XA^MF@VCDHH@l@c@^OZW\_@l@k@f@UNCDEXCT@PYTOd@Ub@KHUVKd@GXQXMF?
33997596,Airport to Xuân Dũng,Vietnam,2103.2,Da Nang,10235,{ox`Bm_wsSo@NQHiARMHENKJa@BOCM??FOAIHMTw@j@o@\_B\g@^g@LKFe@Fa@PQB}@d@_AVYFGF_AXSd@GDWDWHYEaAROJCHs@X_@Da@HYLs@Nc@Zk@LWLYH[Ps@F_@HORSL_@NUBs@RSPa@D[N]FOJs@NIH{@Z[POF]F_A`@]HOFILeARYR_@La@PW@oAj@aAV]T_B\]N_@FYROAGDw@VY?e@h@?BKLYLSFS?OESUGAUH[^CPQ^e@TYJ?\CBEAQBk@Zc@Jk@TM?e@Le@TK@DA]P
34352820,My Khe to My An 1,Vietnam,1077.6,Da Nang,30220,uh}`BynusSM?q@Ly@AQHOB{@^I?GMGA]Ti@Jm@PSVc@JMTYJy@B[Cc@?]FO?KEYLcAPYPeAT[BaABc@CWTQFi@GQ@]JOA_@HOAc@TGJa@TOBW?BDSFc@?SGIHBFE@ICGD[MOAYLk@AOHEJIDg@FWPa@DQHQ?sAEmAR
19972953,Cầu Trần Thị Lý,Vietnam,1215.3,Đà Nẵng,14491,g`~`B{srsS\ZN^XdAPnAf@~HVtCdAzOTbELrAh@zH\pHBjAA\
19972957,Tran Thi Ly to Thuan Phuoc,Vietnam,4992.8,Đà Nẵng,11600,}v}`BanpsSgEHsOJwBFe@CiDB{CEmGSyCCiEMc@Ge@?kAMaDEGAg@A_@FmAWkAFoABkACsABsAAg@DuB@kCIc@ImA]wCaAe@Ie@Qi@GoAAg@@g@C]EOQg@CeBCIFgFKg@Ic@EgEEuBTg@BqB^c@FkABwCh@uBL{CXuBXuANSTsB?yBRe@@c@Ke@?oA@uBHmAJaEPkAVmALaDFmFZg@Ha@PiEjBcAf@iBv@oEhBeAh@_@VcAb@k@Zc@JaA`@S@gAj@gAPc@N_@R[ZoFdCeBt@_@Rw@p@gA~AiBnB[XaBfAS^
17439535,Nhu Nguyet To Thuan Phuoc,Vietnam,1988.3,Đà Nẵng,14193,icdaB_mpsSo@N_Cv@iAf@s@VkGtCwGnCoKtEwDzAwAp@eA`@}At@}@n@[Xs@t@oA`Bu@v@w@r@{Ax@U`@Fb@~@rBbAbBp@x@`@TbAf@hA\pBH`AEfAM`BGpAHlAARB?F
12686957,Hà Khê (Hà Huy Tập) to Phú Lộc bridge (Lý Thái Tông),Vietnam,1673.5,Đà Nẵng,5069,{cbaBidjsSBPKRAT@VIl@?RGj@@j@Uz@Eh@Kh@UlDETGh@ERIz@ETE~@Q|@Eh@_@jBEj@Mf@G|@QtAG|@YpA?j@WrAOtA?l@QrA@V_@`BGj@m@`BMx@[x@[nAQh@Ub@K~@iAhEe@|Ba@pAU`Am@rBGh@Kj@
13870074,Thuan Phuoc Bridge,Vietnam,2124.9,Đà Nẵng,13135,mkeaBqwnsSkAHu@@K@w@Ac@J[CsDBcAIiBs@w@m@i@s@YY[q@q@qBwAsDe@wAm@_AK[Wk@Oe@o@gBSW}@aCg@eASw@c@{@Og@QQa@gAs@{Aa@kAu@yAi@aBc@_AaB{Ey@qBi@cA]cA_@o@Mg@q@wAYy@oA}CGe@aCqG
6187360,Cau Phu Xuan RUNNING,Vietnam,373.0,Thua Thien-Hue,9964,gtncBe~soSURq@`@i@r@mDrCq@v@sAbAoAnA
6187364,Le Duan Hue RUNNING,Vietnam,695.9,Thua Thien-Hue,11828,ylncB}aroS`@zAz@hC`@dBPhAj@hBF^NXJ`Ah@hBF^Bb@NdAJNBLRtB?RN\Ht@^~A
12698854,Cross the Perfume River,Vietnam,374.1,Thừa Thiên Huế,23732,ixocBaetoSx@y@xEoFx@y@dCuC
19414588,Hoan Kiem Lake East straight,Vietnam,492.7,Hà Nội,105792,isi_CemaeS_AWcDYiC[kFg@cFKq@@
33905107,Hàng Ngang - Hàng Đào,Vietnam,306.0,Hanoi,25767,s|j_CkaaeSqBl@y@Zm@XWH[R_@N]Ru@^mBt@
16179287,Mausoleum Sprint 1,Vietnam,260.4,Hà Nội,19755,arl_Cqa~dShA?|CJhBLf@?LAPEJQF[
33834454,Vỉa Hàng Khay,Vietnam,303.0,Hanoi,104590,k|i_CkaaeSh@U`B_@XEh@AVMd@ELGT_@HWDc@L_@\sB
19166126,Mall front North -> South,Vietnam,298.3,Hà Nội,11234,k|c_CqjdeSBDPFj@r@JHnAZ~@HrCJ\?r@E~@A
27743466,hill repeat,Vietnam,306.0,Hà Nội,3152,eid_CksdeSc@mAU{@cB_E_@q@aBuB
35765520,[VNO] Times City Loop [01][S][ACW],Vietnam,1132.3,Hà Nội,1639,wgc_CchdeSiADiA@_@Bc@Aq@Fc@@{CAgDBcAAK@AFF\Dr@@jDF`BFJTC`Ba@hAGtACpD?nFBXCPMF[FwE
35750973,[VNO] Times City Loop [01][S][CW],Vietnam,1067.3,Hà Nội,4411,ofc_CoddeS?fABZBnAE\CFSFc@BoFA{DEyBBiB^EAGKC[DyGHORIP?PDv@H`G?`AAp@@xDC
33909438,Phan Đình Phùng (Hoàng Diệu),Vietnam,384.0,Hanoi,28873,yul_C_d~dSLQHYPiBPs@TcCBgAH]?QNy@Dg@JYJyAFWJQ
1793526,Hoan Kiem Lake Loop,Vietnam,1629.42,Hanoi,80180,sxi_CqnaeSyLeAcBEaCAa@D]JeD`BALCH[d@GNCRMrBC`BNf@KJr@p@n@P^?nGcAzAQf@Al@BxC`@jJ}ANGPUz@kE?]IOKEiEe@
33103185,Hoan Kiem 2 loops,Vietnam,3422.1,Hà Nội,54579,cnj_CkaaeS\ChAOb@IRCJCZAp@GR@?GVHJ?bANt@EhABn@Kn@SjAUrBu@pAcBDOCe@@a@AOGOSSa@UsBOaAOsBQo@IuAKO@OEwAKi@AYGoAAs@@ICk@?g@Hg@Vg@Z[Nc@VOB[Pa@^ObAHPO`@BZGJ?f@IZ?`@Rl@V^r@b@b@DbBGXIF?j@QJ?zDo@j@C`AHv@JH?TEh@GP@LHJA\C\MJ?vA[zAk@TENM^a@LWFELS?QLm@?k@K[]UMMQ@y@OcCQ_@GO?o@Gu@OeBMkAOiBEqA?o@Eq@?K@YJkAv@w@^WHe@XSTCFAZFL?VEXKT?PGF@n@Mh@@h@DLZZHPb@`@HBL?JDP?v@Eb@K\@`Ba@l@Kl@Et@Ot@ClALd@HL?
